time_to_depletion,total_nectar_collected,time_to_first_nectar,success,width,length,hive_radius,nectar_count,max_nec_strength,num_bees,dt,max_steps,idle_prob,follow_prob,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir,rep
2017.0,75,20,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.5,0.3,0.5,10,10,20,0.5,4
2442.0,75,48,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.75,0.3,0.5,10,10,20,0.5,0
4316.0,75,13,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.25,0.3,0.5,10,10,20,0.5,1
4358.0,75,80,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.5,0.3,0.5,10,10,20,0.5,2
4901.0,75,10,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.5,0.3,0.5,10,10,20,0.5,3
4275.0,75,4,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.0,0.3,0.5,10,10,20,0.5,4
7704.0,75,4,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.5,0.3,0.5,10,10,20,0.5,1
6034.0,75,8,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.0,0.3,0.5,10,10,20,0.5,0
2643.0,75,11,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.75,0.3,0.5,10,10,20,0.5,4
5424.0,75,28,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.0,0.3,0.5,10,10,20,0.5,2
4695.0,75,8,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.75,0.3,0.5,10,10,20,0.5,1
10274.0,75,44,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.5,0.3,0.5,10,10,20,0.5,0
4562.0,75,76,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.75,0.3,0.5,10,10,20,0.5,2
7025.0,75,4,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.25,0.3,0.5,10,10,20,0.5,2
6202.0,75,66,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.0,0.3,0.5,10,10,20,0.5,1
13665.0,75,20,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.25,0.3,0.5,10,10,20,0.5,4
5669.0,75,46,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.0,0.3,0.5,10,10,20,0.5,0
8029.0,75,25,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.25,0.3,0.5,10,10,20,0.5,3
5469.0,75,97,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.0,0.3,0.5,10,10,20,0.5,3
11846.0,75,12,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.0,0.3,0.5,10,10,20,0.5,3
7591.0,75,51,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.75,0.3,0.5,10,10,20,0.5,3
15730.0,75,16,True,10,10,0.2,15,5,10,0.2,50000,0.0,0.25,0.3,0.5,10,10,20,0.5,0
14081.0,75,59,True,10,10,0.2,15,5,10,0.2,50000,0.0,1.0,0.3,0.5,10,10,20,0.5,0
10579.0,75,237,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.0,0.3,0.5,10,10,20,0.5,1
9984.0,75,62,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.0,0.3,0.5,10,10,20,0.5,4
3312.0,75,27,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.25,0.3,0.5,10,10,20,0.5,3
9138.0,75,5,True,10,10,0.2,15,5,10,0.2,50000,0.0,1.0,0.3,0.5,10,10,20,0.5,1
5198.0,75,257,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.25,0.3,0.5,10,10,20,0.5,0
3598.0,75,113,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.25,0.3,0.5,10,10,20,0.5,4
7637.0,75,15,True,10,10,0.2,15,5,10,0.2,50000,0.0,1.0,0.3,0.5,10,10,20,0.5,4
8444.0,75,55,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.25,0.3,0.5,10,10,20,0.5,1
14251.0,75,9,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.0,0.3,0.5,10,10,20,0.5,2
2567.0,75,118,True,10,10,0.2,15,5,10,0.2,50000,0.125,1.0,0.3,0.5,10,10,20,0.5,1
10074.0,75,134,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.25,0.3,0.5,10,10,20,0.5,2
12204.0,75,34,True,10,10,0.2,15,5,10,0.2,50000,0.0,1.0,0.3,0.5,10,10,20,0.5,2
3267.0,75,11,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.75,0.3,0.5,10,10,20,0.5,3
13690.0,75,4,True,10,10,0.2,15,5,10,0.2,50000,0.0,1.0,0.3,0.5,10,10,20,0.5,3
7403.0,75,119,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.5,0.3,0.5,10,10,20,0.5,4
8605.0,75,10,True,10,10,0.2,15,5,10,0.2,50000,0.125,0.75,0.3,0.5,10,10,20,0.5,0
